level,variance,vpc,crime_type,converged,theta,mu,n_incidents,elapsed_sec
Block,1.1398402781157109,0.5104441246456815,Grand larceny,TRUE,0.6172499223892501,1.9755830455715286,192203,1.8
NTA,0.5868793788111177,0.2930762161585142,GLA,TRUE,0.8911753305126389,0.6547297820884518,56160,1.3
Tract,0.12102145278082659,0.06043577391807832,GLA,TRUE,0.8911753305126389,0.6547297820884518,56160,1.3
Block,1.2945795692526474,0.6464880099234075,GLA,TRUE,0.8911753305126389,0.6547297820884518,56160,1.3
NTA,2.2043819885448466,0.2456594892838826,Retail theft,TRUE,0.044920404369860056,0.42982838607458185,234913,1.2
Tract,3.5268134645902056,0.39303314897917213,Retail theft,TRUE,0.044920404369860056,0.42982838607458185,234913,1.2
Block,3.2421277226592125,0.3613073617369452,Retail theft,TRUE,0.044920404369860056,0.42982838607458185,234913,1.2
NTA,0.7608761559311402,0.29161053685071675,Vehicle accessory theft,TRUE,0.685345690017075,0.3495672873294157,35172,1.1
Tract,0.17690903500499777,0.0678014920948823,Vehicle accessory theft,TRUE,0.685345690017075,0.3495672873294157,35172,1.1
Block,1.671435189603997,0.6405879710544009,Vehicle accessory theft,TRUE,0.685345690017075,0.3495672873294157,35172,1.1
NTA,0.4641052785488301,0.2623893218943485,Theft from auto,TRUE,0.8953649073642335,0.873197160570683,74979,1.5
Tract,0.12229562773155958,0.06914178380272698,Theft from auto,TRUE,0.8953649073642335,0.873197160570683,74979,1.5
Block,1.182364968787129,0.6684688943029246,Theft from auto,TRUE,0.8953649073642335,0.873197160570683,74979,1.5
NTA,5.291255830959183,0.4425951125396308,Pickpocket (transit),TRUE,0.004441183988462557,0.0025977285432265134,1163,0.7
Tract,0.24852657431866265,0.020788381934977722,Pickpocket (transit),TRUE,0.004441183988462557,0.0025977285432265134,1163,0.7
Block,6.415288224846644,0.5366165055253915,Pickpocket (transit),TRUE,0.004441183988462557,0.0025977285432265134,1163,0.7
NTA,3.1282945322925917,0.38608818417725727,Pickpocket (non-transit),TRUE,0.15896415990780596,0.02793787113698312,10508,0.9
Tract,1.2110825964640188,0.1494695194876035,Pickpocket (non-transit),TRUE,0.15896415990780596,0.02793787113698312,10508,0.9
Block,3.763161774263427,0.4644422963351394,Pickpocket (non-transit),TRUE,0.15896415990780596,0.02793787113698312,10508,0.9
NTA,2.429932637433315,0.35594657021419673,Shootings,TRUE,0.3290001505855272,0.020960261842756758,3823,0.9
Tract,0.4503433960691955,0.0659681609193756,Shootings,TRUE,0.3290001505855272,0.020960261842756758,3823,0.9
Block,3.946402015315499,0.5780852688664277,Shootings,TRUE,0.3290001505855272,0.020960261842756758,3823,0.9
NTA,2.6691771700744735,0.4271335499842543,Gun violence,TRUE,0.3924436269895535,0.06241365006438873,12589,1
Tract,0.605857031886361,0.09695192500291187,Gun violence,TRUE,0.3924436269895535,0.06241365006438873,12589,1
Block,2.974011723307432,0.47591452501283393,Gun violence,TRUE,0.3924436269895535,0.06241365006438873,12589,1
NTA,1.2723479349417137,0.42724320462177995,Violent crime,TRUE,0.46085816069606794,1.6975127627797446,183833,2
Tract,0.3815505165727544,0.12812129524390423,Violent crime,TRUE,0.46085816069606794,1.6975127627797446,183833,2
Block,1.3241429103559184,0.44463550013431585,Violent crime,TRUE,0.46085816069606794,1.6975127627797446,183833,2
NTA,0.7438473617782783,0.3894344046447649,Property crime,TRUE,0.7136957600953453,3.412791794109498,303189,2.8
Tract,0.17513252717767072,0.09168901438639336,Property crime,TRUE,0.7136957600953453,3.412791794109498,303189,2.8
Block,0.9910911086406874,0.5188765809688417,Property crime,TRUE,0.7136957600953453,3.412791794109498,303189,2.8
NTA,0.8395657708115504,0.4085290625229689,7 Major Felonies,TRUE,0.6464321437211387,5.401508149737536,487022,3.3
Tract,0.21046307152181298,0.10241041773463393,7 Major Felonies,TRUE,0.6464321437211387,5.401508149737536,487022,3.3
Block,1.005065514054922,0.4890605197423971,7 Major Felonies,TRUE,0.6464321437211387,5.401508149737536,487022,3.3
