BoroCT2020,n_blocks,gini_blocks,n_incidents,crime_type
2000400,114,NA,0,Murder
2001600,55,NA,0,Murder
2001901,45,0.9555555555555556,2,Murder
2001902,113,0.9734513274336283,3,Murder
2001903,62,NA,0,Murder
2002001,15,0.8666666666666667,2,Murder
2002002,34,NA,0,Murder
2002300,13,NA,0,Murder
2002500,20,0.85,3,Murder
2002701,10,0.78,5,Murder
2002702,29,0.9655172413793104,1,Murder
2002800,53,0.9811320754716981,1,Murder
2003100,32,NA,0,Murder
2003300,31,0.9354838709677419,2,Murder
2003500,31,0.967741935483871,1,Murder
2003700,8,NA,0,Murder
2003800,7,NA,0,Murder
2003900,28,0.8785714285714286,5,Murder
2004001,15,NA,0,Murder
2004100,29,0.9310344827586207,2,Murder
2004200,59,0.9830508474576272,1,Murder
2004300,37,0.8918918918918919,4,Murder
2004400,28,0.9642857142857143,1,Murder
2004600,44,NA,0,Murder
2004800,17,0.9411764705882353,1,Murder
2005001,10,0.8,2,Murder
2005002,10,0.8,2,Murder
2005100,112,0.9821428571428571,2,Murder
2005200,19,0.8947368421052632,2,Murder
2005300,19,0.8947368421052632,2,Murder
2005400,16,0.8541666666666666,6,Murder
2005600,18,NA,0,Murder
2005902,7,NA,0,Murder
2006000,43,NA,0,Murder
2006100,20,0.9166666666666666,3,Murder
2006200,24,0.9166666666666666,2,Murder
2006301,118,0.9830508474576272,2,Murder
2006400,22,0.9242424242424242,3,Murder
2006500,37,0.954954954954955,3,Murder
2006700,37,0.972972972972973,1,Murder
2006800,22,NA,0,Murder
2006900,32,0.9479166666666666,3,Murder
2007000,18,0.8888888888888888,2,Murder
2007100,56,0.9464285714285714,3,Murder
2007200,39,0.9743589743589743,1,Murder
2007300,27,0.9259259259259259,2,Murder
2007400,12,0.8333333333333334,2,Murder
2007500,33,0.896969696969697,5,Murder
2007600,44,0.9772727272727273,1,Murder
2007700,25,NA,0,Murder
2007800,46,NA,0,Murder
2007900,40,0.9,4,Murder
2008300,32,0.953125,4,Murder
2008400,20,0.95,4,Murder
2008500,23,0.9565217391304348,1,Murder
2008600,17,NA,0,Murder
2008700,46,0.9347826086956522,3,Murder
2008900,13,NA,0,Murder
2009000,104,0.9673076923076923,5,Murder
2009200,53,NA,0,Murder
2009301,93,0.989247311827957,1,Murder
2009302,145,0.993103448275862,1,Murder
2009600,92,0.9891304347826086,1,Murder
2009800,70,0.9714285714285714,2,Murder
2011502,55,NA,0,Murder
2011701,30,0.9444444444444444,3,Murder
2011702,58,NA,0,Murder
2011800,209,NA,0,Murder
2011900,28,0.8928571428571429,3,Murder
2012101,24,NA,0,Murder
2012102,12,0.8333333333333334,2,Murder
2012300,47,0.9787234042553191,1,Murder
2012500,32,0.96875,1,Murder
2012701,18,0.9444444444444444,1,Murder
2012901,20,0.875,4,Murder
2013000,18,NA,0,Murder
2013100,44,0.9621212121212122,3,Murder
2013200,104,0.9903846153846154,1,Murder
2013300,18,0.9444444444444444,1,Murder
2013500,27,0.9629629629629629,1,Murder
2013800,150,NA,0,Murder
2014100,41,0.926829268292683,3,Murder
2014300,34,0.9411764705882353,2,Murder
2014400,40,0.875,5,Murder
2014500,23,0.9347826086956522,4,Murder
2014701,18,NA,0,Murder
2014702,22,0.9090909090909091,2,Murder
2014900,23,0.9565217391304348,1,Murder
2015100,43,NA,0,Murder
2015200,56,NA,0,Murder
2015300,36,0.9444444444444444,2,Murder
2015500,14,NA,0,Murder
2015700,29,0.896551724137931,3,Murder
2015800,22,NA,0,Murder
2015900,8,0.875,1,Murder
2016000,63,0.9682539682539683,2,Murder
2016100,37,0.8648648648648649,5,Murder
2016200,21,NA,0,Murder
2016400,27,NA,0,Murder
2016500,35,0.9714285714285714,1,Murder
2016600,44,NA,0,Murder
2016700,32,NA,0,Murder
2016900,18,0.9444444444444444,1,Murder
2017300,35,0.9142857142857143,6,Murder
2017500,25,0.88,3,Murder
2017701,12,0.9166666666666666,1,Murder
2017702,20,0.87,5,Murder
2017901,11,NA,0,Murder
2017902,6,0.7222222222222222,3,Murder
2018101,12,NA,0,Murder
2018102,14,0.8571428571428571,2,Murder
2018301,10,0.9,1,Murder
2018302,24,0.9583333333333334,1,Murder
2018400,82,0.9878048780487805,1,Murder
2018501,30,0.9166666666666666,4,Murder
2018502,29,0.9310344827586207,2,Murder
2018900,64,0.953125,3,Murder
