crime_type,year,quarter,year_quarter,n_incidents,lambda,observed_50x,null_50x,marginal_50x,observed_gini,null_gini,marginal_gini
Shootings,2025,1,2025-Q1,139,0.0015566904089952067,7.727455987098508e-4,7.771341904556984e-4,-4.388591745847553e-6,0.9984655468744209,0.9984457297363583,1.9817138062649953e-5
Shootings,2025,2,2025-Q2,198,0.002217443891950007,0.001063925099672983,0.001106265233477571,-4.234013380458794e-5,0.9978703398270661,0.997787464093467,8.287573359910816e-5
Shootings,2025,3,2025-Q3,216,0.002419029700309098,0.0011423195807015187,0.0012065913556242225,-6.427177492270377e-5,0.9977116277680718,0.9975868102281229,1.248175399488627e-4
Shootings,2025,4,2025-Q4,135,0.0015118935626931864,7.391479639833355e-4,7.548044460431259e-4,-1.5656482059790374e-5,0.9985322396266266,0.9984903893829984,4.185024362823864e-5
Gun violence,2022,1,2022-Q1,967,0.010829637593513417,0.0033373650495005154,0.005356389384885935,-0.00201902433538542,0.9926270390150883,0.9892865930026551,0.003340446012433218
Gun violence,2022,2,2022-Q2,1151,0.012890292523406352,0.0036397437620391522,0.006362422268014034,-0.002722678505974882,0.9916710850523978,0.9872740982275002,0.004396986824897531
Gun violence,2022,3,2022-Q3,1258,0.014088608161985396,0.004367692514446983,0.006945524076068908,-0.0025778315616219252,0.9903638885571263,0.9861075731471568,0.004256315409969513
Gun violence,2022,4,2022-Q4,785,0.008791381086771492,0.0034829547999820814,0.004357159349489828,-8.742045495077466e-4,0.9928946637825486,0.9912853445354067,0.001609319247141916
Gun violence,2023,1,2023-Q1,771,0.00863459212471442,0.0033597634726515255,0.0042801250342696245,-9.20361561618099e-4,0.9931151866363861,0.9914394308145353,0.0016757558218507551
Gun violence,2023,2,2023-Q2,816,0.00913855664561215,0.0037629350893697085,0.0045276486223297064,-7.64713532959998e-4,0.9923393824447307,0.9909443246273483,0.0013950578173824724
