crime_type,year,n_incidents,lambda,observed_50x,null_50x,marginal_50x,observed_gini,null_gini,marginal_gini
Robbery (outdoor),2014,10958,0.12272096044438471,0.027034896743269275,0.054129078248593476,-0.0270941815053242,0.9324344820368121,0.8909224409781585,0.04151204105865358
Robbery (outdoor),2015,11173,0.12512879093311832,0.027236482551628364,0.05505235222968338,-0.02781586967805502,0.9315595452106127,0.8890287149075035,0.042530830303109224
Robbery (outdoor),2016,9980,0.11176813152354075,0.029039555615284682,0.04986435202289459,-0.020824796407609907,0.9322176315180197,0.8996457326711271,0.0325718988468926
Robbery (outdoor),2017,8986,0.10063611521748869,0.027751646284101598,0.04541992217720408,-0.01766827589310248,0.9366934143620843,0.9086985758635165,0.027994838498567765
Robbery (outdoor),2018,7913,0.08861936119697174,0.025769385835237198,0.04049645382046001,-0.01472706798522281,0.9424859486480045,0.9186882110406946,0.023797737607309855
Robbery (outdoor),2019,8395,0.09401738117636518,0.02612776060565336,0.04272436881878334,-0.016596608213129978,0.9407444486128546,0.9141724770754431,0.02657197153741142
Robbery (outdoor),2020,7789,0.0872306589616091,0.025455807911123056,0.03991899028968667,-0.014463182378563616,0.9432734167893576,0.919857484917182,0.02341593187217561
Robbery (outdoor),2021,7939,0.08891054069793486,0.024772656005017248,0.040617310969222706,-0.015844654964205458,0.9439397388580287,0.9184434341713481,0.025496304686680626
Robbery (outdoor),2022,9881,0.11065940957756575,0.027762845495677105,0.04942668680247314,-0.021663841306796036,0.9343201671453256,0.9005388462972854,0.0337813208480402
Robbery (outdoor),2023,9944,0.11136495990682256,0.02628454956771043,0.04970532828621717,-0.023420778718506736,0.9362075249403649,0.8999702848638325,0.036237240076532395
Robbery (outdoor),2024,9804,0.10979707028625185,0.025847780316265737,0.049085519749021714,-0.023237739432755977,0.9373078416797206,0.9012347849110409,0.03607305676867967
Robbery (outdoor),2025,8720,0.09765712493840434,0.02585897952784124,0.04421161317774292,-0.01835263364990168,0.9402801143716913,0.9111537652000401,0.029126349171651245
