crime_type,year,total_n,lambda,obs_50x,null_50x,mcc_50x,obs_gini,null_gini,mcc_gini,pct_zero
Outdoor robbery,2013,13174,0.147538413295704,2.7774044707252608,6.340149978416404,-3.562745507691143,0.9248594671517484,0.8718065751931601,0.05305289195858831,89.84567486448954
Outdoor robbery,2014,10958,0.12272096044438471,2.7034896743269274,5.412907824859348,-2.70941815053242,0.9324344820368121,0.8909224409781585,0.04151204105865358,91.16046230345384
Outdoor robbery,2015,11173,0.12512879093311832,2.7236482551628365,5.505235222968338,-2.781586967805502,0.9315595452106127,0.8890287149075035,0.042530830303109224,91.02047215876003
Outdoor robbery,2016,9980,0.11176813152354075,2.9039555615284685,4.986435202289459,-2.0824796407609902,0.9322176315180197,0.8996457326711271,0.0325718988468926,91.5076378622945
Outdoor robbery,2017,8986,0.10063611521748869,2.77516462841016,4.5419922177204075,-1.7668275893102479,0.9366934143620843,0.9086985758635165,0.027994838498567765,92.1930296107154
Outdoor robbery,2018,7913,0.08861936119697174,2.5769385835237197,4.049645382046001,-1.472706798522281,0.9424859486480045,0.9186882110406946,0.023797737607309855,92.99265331720648
Outdoor robbery,2019,8395,0.09401738117636518,2.612776060565336,4.272436881878334,-1.6596608213129977,0.9407444486128546,0.9141724770754431,0.02657197153741142,92.68691484119518
Outdoor robbery,2020,7789,0.0872306589616091,2.5455807911123056,3.991899028968667,-1.4463182378563615,0.9432734167893576,0.919857484917182,0.02341593187217561,93.09344622138602
Outdoor robbery,2021,7939,0.08891054069793486,2.477265600501725,4.06173109692227,-1.5844654964205458,0.9439397388580287,0.9184434341713481,0.025496304686680626,93.0777673251803
Outdoor robbery,2022,9881,0.11065940957756575,2.7762845495677104,4.942668680247314,-2.1663841306796034,0.9343201671453256,0.9005388462972854,0.0337813208480402,91.69130493213278
Outdoor robbery,2023,9944,0.11136495990682256,2.6284549567710433,4.9705328286217165,-2.342077871850673,0.9362075249403649,0.8999702848638325,0.036237240076532395,91.80329704788782
Outdoor robbery,2024,9804,0.10979707028625185,2.5847780316265734,4.9085519749021715,-2.323773943275598,0.9373078416797206,0.9012347849110409,0.03607305676867967,91.92536845406083
Outdoor felony assault,2006,8632,0.09667159431975988,1.7459570846212427,4.381010121384977,-2.6350530367637335,0.9521350757147661,0.911969075201849,0.04016600051291708,93.48653854768624
Outdoor felony assault,2007,8719,0.09764592572682883,1.7504367692514444,4.420705549169054,-2.67026877991761,0.9518184524236607,0.9111630215005646,0.04065543092309609,93.42942256865116
Outdoor felony assault,2008,8228,0.09214711284325583,1.71795905568248,4.1955466545687665,-2.4775875988862865,0.9529733345955721,0.9157317928582446,0.03724154173732752,93.68812435604534
Outdoor felony assault,2009,8326,0.09324463557765533,1.726918424942884,4.240706499965486,-2.5137880750226023,0.9528594624363379,0.9148160711246669,0.038043391311671004,93.64668727321596
Outdoor felony assault,2010,8380,0.09384939300273261,1.7425973211485912,4.265543598013347,-2.522946276864756,0.952626741664499,0.914312308182275,0.038314433482223964,93.61532948080455
Outdoor felony assault,2011,8195,0.09177753886126416,1.7190789768400307,4.1803150502822355,-2.4612360734422043,0.9530322654546864,0.9160405799066883,0.03699168554799814,93.69260404067553
Outdoor felony assault,2012,8544,0.09568606370111545,1.7941136943959146,4.3407707477886985,-2.5466570533927837,0.9509218801932674,0.9127859161090479,0.03813596408421949,93.42270304170586
Outdoor felony assault,2013,8226,0.09212471442010482,1.7896340097657126,4.194623881665338,-2.4049898718996254,0.952073043496104,0.9157505010267889,0.0363225424693151,93.60413026922905
Outdoor felony assault,2014,7933,0.08884334542848184,1.7459570846212427,4.058942774393259,-2.3129856897720167,0.9535525977176174,0.9184999090505752,0.03505268866704214,93.81243560453343
Outdoor felony assault,2015,8258,0.09248308919052099,1.7291582672579848,4.209382758380406,-2.480224491122421,0.9527504748286694,0.9154512662447198,0.03729920858394953,93.64668727321596
