crime_type,borough,n_blocks,n_incidents,lambda,observed_50x,null_50x,marginal_50x,observed_gini,null_gini,marginal_gini
Vehicle accessory theft,Manhattan,8082,4598,0.568918584508785,0.05196733481811433,0.1494033702772133,-0.09743603545909896,0.8486914627460871,0.646443387285199,0.20224807546088808
Vehicle accessory theft,Queens,33339,12941,0.38816401211793994,0.06874831278682624,0.12761690939804265,-0.05886859661121642,0.8206524819688774,0.7244581662995055,0.09619431566937187
Vehicle accessory theft,Staten Island,14381,1352,0.0940129337320075,0.03191711285724219,0.04272254417039081,-0.010805431313148615,0.9321538650808574,0.9141761784915909,0.01797768658926646
Vehicle accessory theft,Bronx,12659,15333,1.2112331147799984,0.0880796271427443,0.21899127184436107,-0.13091164470161676,0.744915213925293,0.4831628737776855,0.2617523401476075
Vehicle accessory theft,Brooklyn,20795,8436,0.40567444097138733,0.07679730704496274,0.13063565348405826,-0.05383834643909552,0.7997554533057754,0.7159010107324073,0.08385444257336805
Theft from auto,Manhattan,8082,11586,1.4335560504825537,0.0894580549368968,0.23222906270734897,-0.14277100777045215,0.7371587995017239,0.4488038348704254,0.2883549646312985
Theft from auto,Queens,33339,27112,0.8132217523021087,0.09466390713578691,0.17296510996715114,-0.07830120283136423,0.7386643658303081,0.5687449413578032,0.16991942447250497
Theft from auto,Staten Island,14381,3858,0.26827063486544744,0.053125651901814896,0.10116388416919918,-0.04803823226738428,0.8581835826885374,0.7902049278054598,0.06797865488307764
Theft from auto,Bronx,12659,27524,2.174263369934434,0.1086973694604629,0.26955529117548294,-0.16085792171502003,0.686884322480395,0.3710496819247633,0.3158346405556317
Theft from auto,Brooklyn,20795,23716,1.1404664582832411,0.11853811012262563,0.21292712633368932,-0.09438901621106369,0.6813446331399885,0.49576827607502305,0.18557635706496545
Pickpocket (transit),Manhattan,8082,741,0.09168522642910171,0.0023509032417718388,0.041765085453876076,-0.039414182212104236,0.9932825849482748,0.9161177429353445,0.07716484201293028
Pickpocket (transit),Queens,33339,288,0.008638531449653559,1.799694052011158e-4,0.004282060821011434,-0.004102091415810318,0.999389478788606,0.9914355588053401,0.007953919983265889
Pickpocket (transit),Staten Island,14381,0,0,NA,0,NA,NA,NA,NA
Pickpocket (transit),Bronx,12659,106,0.008373489217157753,5.529662690575875e-4,0.004151784594894911,-0.003598818325837323,0.9981160394498955,0.991696139700366,0.006419899749529501
Pickpocket (transit),Brooklyn,20795,185,0.008896369319547967,9.136811733589806e-4,0.0044087290568019955,-0.003495047883443015,0.9974960197032811,0.9911821929475308,0.006313826755750207
Pickpocket (non-transit),Manhattan,8082,6526,0.8074733976738431,0.01670378619153675,0.17208829120337482,-0.15538450501183806,0.9178085973354787,0.5702981556507372,0.34751044168474154
Pickpocket (non-transit),Queens,33339,1999,0.05995980683283842,0.0011698011338072529,0.028217709739290775,-0.027047908605483523,0.9910665462009027,0.9434630099011351,0.04760353629976766
Pickpocket (non-transit),Staten Island,14381,55,0.003824490647381962,0.001460260065364022,0.0019049412737254827,-4.446812083614606e-4,0.997068101219412,0.9961900895893676,8.780116300444174e-4
Pickpocket (non-transit),Bronx,12659,1758,0.1388735287147484,0.005608657871869816,0.060225141367217155,-0.05461648349534734,0.9706410229795095,0.8783805395893255,0.092260483390184
Pickpocket (non-transit),Brooklyn,20795,1924,0.09252224092329887,0.0047126713152200045,0.04210994426858945,-0.03739727295336945,0.9782742033283028,0.9154185878327097,0.06285561549559315
Shootings,Manhattan,8082,881,0.10900767136847316,0.020292006928977976,0.04877262594059551,-0.028480619011617535,0.9445371379231211,0.9018728534156127,0.042664284507508365
Shootings,Queens,33339,775,0.023246048171810793,0.007948648729715948,0.011354916209165048,-0.0034062674794490995,0.9832631162379815,0.9772840305169039,0.005979085721077526
Shootings,Staten Island,14381,117,0.008135734649885266,0.002850983937139281,0.0040348618044996065,-0.0011838778673603253,0.9940644618344361,0.9919300093174679,0.0021344525169681994
Shootings,Bronx,12659,1812,0.14313926850462122,0.028517260447112724,0.06179699998998202,-0.033279739542869294,0.9246509781887853,0.8751309419623939,0.04952003622639134
Shootings,Brooklyn,20795,1837,0.0883385429189709,0.01937965857177206,0.04037982370511979,-0.02100016513334773,0.9512080431586935,0.9189244069502758,0.032283636208417676
Gun violence,Manhattan,8082,2825,0.34954219252660235,0.027715911902994307,0.12021812868585545,-0.09250221678286114,0.9158939016672032,0.7442171531974677,0.17167674846973546
Gun violence,Queens,33339,2626,0.07876660967635501,0.014487537118689824,0.03636108357104125,-0.021873546452351428,0.9602714682449147,0.9270517686623767,0.03321969958253801
Gun violence,Staten Island,14381,461,0.03205618524441972,0.005145678325568458,0.015519739548975491,-0.010374061223407033,0.9851230255152579,0.9689445673394445,0.016178458175813426
Gun violence,Bronx,12659,5715,0.4514574610948732,0.046844142507307056,0.13757175916108533,-0.09072761665377826,0.8660097833769673,0.6946256269955657,0.1713841563814016
Gun violence,Brooklyn,20795,6071,0.29194517912959844,0.02971868237557105,0.10721793483855045,-0.0774992524629794,0.9108166966602506,0.7761460589485847,0.13467063771166587
