physical_id,trajectory_group,posterior_prob,label
5982,0,1,Crime-free-stable
5989,0,1,Crime-free-stable
5992,0,1,Crime-free-stable
5999,0,1,Crime-free-stable
6004,0,1,Crime-free-stable
6005,0,1,Crime-free-stable
6029,0,1,Crime-free-stable
6031,0,1,Crime-free-stable
6033,0,1,Crime-free-stable
6043,0,1,Crime-free-stable
6084,0,1,Crime-free-stable
6094,0,1,Crime-free-stable
6098,0,1,Crime-free-stable
6102,0,1,Crime-free-stable
6109,0,1,Crime-free-stable
6123,0,1,Crime-free-stable
6127,0,1,Crime-free-stable
6138,0,1,Crime-free-stable
6142,0,1,Crime-free-stable
6147,0,1,Crime-free-stable
6148,0,1,Crime-free-stable
6181,0,1,Crime-free-stable
6209,0,1,Crime-free-stable
6243,0,1,Crime-free-stable
6244,0,1,Crime-free-stable
6245,0,1,Crime-free-stable
6246,0,1,Crime-free-stable
6249,0,1,Crime-free-stable
6253,0,1,Crime-free-stable
6255,0,1,Crime-free-stable
6260,0,1,Crime-free-stable
6270,0,1,Crime-free-stable
6272,0,1,Crime-free-stable
6273,0,1,Crime-free-stable
6274,0,1,Crime-free-stable
6275,0,1,Crime-free-stable
6276,0,1,Crime-free-stable
6278,0,1,Crime-free-stable
6279,0,1,Crime-free-stable
6281,0,1,Crime-free-stable
6282,0,1,Crime-free-stable
6283,0,1,Crime-free-stable
6445,0,1,Crime-free-stable
6451,0,1,Crime-free-stable
6452,0,1,Crime-free-stable
6453,0,1,Crime-free-stable
6462,0,1,Crime-free-stable
6473,0,1,Crime-free-stable
6510,0,1,Crime-free-stable
6512,0,1,Crime-free-stable
6520,0,1,Crime-free-stable
6590,0,1,Crime-free-stable
6598,0,1,Crime-free-stable
6600,0,1,Crime-free-stable
6605,0,1,Crime-free-stable
6607,0,1,Crime-free-stable
6609,0,1,Crime-free-stable
6636,0,1,Crime-free-stable
6638,0,1,Crime-free-stable
6639,0,1,Crime-free-stable
6642,0,1,Crime-free-stable
6643,0,1,Crime-free-stable
6644,0,1,Crime-free-stable
6645,0,1,Crime-free-stable
6646,0,1,Crime-free-stable
6648,0,1,Crime-free-stable
6649,0,1,Crime-free-stable
6651,0,1,Crime-free-stable
6652,0,1,Crime-free-stable
6653,0,1,Crime-free-stable
6655,0,1,Crime-free-stable
6656,0,1,Crime-free-stable
6658,0,1,Crime-free-stable
6659,0,1,Crime-free-stable
6660,0,1,Crime-free-stable
6661,0,1,Crime-free-stable
6667,0,1,Crime-free-stable
6668,0,1,Crime-free-stable
6669,0,1,Crime-free-stable
6700,0,1,Crime-free-stable
6771,0,1,Crime-free-stable
6778,0,1,Crime-free-stable
6779,0,1,Crime-free-stable
6781,0,1,Crime-free-stable
6792,0,1,Crime-free-stable
6798,0,1,Crime-free-stable
6809,0,1,Crime-free-stable
6812,0,1,Crime-free-stable
6815,0,1,Crime-free-stable
6816,0,1,Crime-free-stable
6817,0,1,Crime-free-stable
6827,0,1,Crime-free-stable
6829,0,1,Crime-free-stable
6833,0,1,Crime-free-stable
6834,0,1,Crime-free-stable
6840,0,1,Crime-free-stable
6841,0,1,Crime-free-stable
6845,0,1,Crime-free-stable
6850,0,1,Crime-free-stable
6862,0,1,Crime-free-stable
6865,0,1,Crime-free-stable
6870,0,1,Crime-free-stable
6871,0,1,Crime-free-stable
6894,0,1,Crime-free-stable
6896,0,1,Crime-free-stable
6926,0,1,Crime-free-stable
6928,0,1,Crime-free-stable
6930,0,1,Crime-free-stable
6931,0,1,Crime-free-stable
6932,0,1,Crime-free-stable
6933,0,1,Crime-free-stable
6934,0,1,Crime-free-stable
6935,0,1,Crime-free-stable
6936,0,1,Crime-free-stable
6998,0,1,Crime-free-stable
6999,0,1,Crime-free-stable
7000,0,1,Crime-free-stable
7001,0,1,Crime-free-stable
7002,0,1,Crime-free-stable
7003,0,1,Crime-free-stable
7047,0,1,Crime-free-stable
7048,0,1,Crime-free-stable
7049,0,1,Crime-free-stable
7050,0,1,Crime-free-stable
7053,0,1,Crime-free-stable
7056,0,1,Crime-free-stable
7057,0,1,Crime-free-stable
7058,0,1,Crime-free-stable
7059,0,1,Crime-free-stable
7060,0,1,Crime-free-stable
7061,0,1,Crime-free-stable
7062,0,1,Crime-free-stable
7063,0,1,Crime-free-stable
7064,0,1,Crime-free-stable
7151,0,1,Crime-free-stable
7152,0,1,Crime-free-stable
7213,0,1,Crime-free-stable
7214,0,1,Crime-free-stable
7215,0,1,Crime-free-stable
7216,0,1,Crime-free-stable
7217,0,1,Crime-free-stable
7218,0,1,Crime-free-stable
7219,0,1,Crime-free-stable
7220,0,1,Crime-free-stable
7221,0,1,Crime-free-stable
7222,0,1,Crime-free-stable
7223,0,1,Crime-free-stable
7224,0,1,Crime-free-stable
7245,0,1,Crime-free-stable
7255,0,1,Crime-free-stable
7256,0,1,Crime-free-stable
7265,0,1,Crime-free-stable
7267,0,1,Crime-free-stable
7269,0,1,Crime-free-stable
7270,0,1,Crime-free-stable
7271,0,1,Crime-free-stable
7272,0,1,Crime-free-stable
7276,0,1,Crime-free-stable
7277,0,1,Crime-free-stable
7278,0,1,Crime-free-stable
7285,0,1,Crime-free-stable
7289,0,1,Crime-free-stable
7290,0,1,Crime-free-stable
7291,0,1,Crime-free-stable
7297,0,1,Crime-free-stable
7304,0,1,Crime-free-stable
7305,0,1,Crime-free-stable
7306,0,1,Crime-free-stable
7310,0,1,Crime-free-stable
7314,0,1,Crime-free-stable
7315,0,1,Crime-free-stable
7325,0,1,Crime-free-stable
7326,0,1,Crime-free-stable
7327,0,1,Crime-free-stable
7328,0,1,Crime-free-stable
7350,0,1,Crime-free-stable
7352,0,1,Crime-free-stable
7355,0,1,Crime-free-stable
7373,0,1,Crime-free-stable
7377,0,1,Crime-free-stable
7378,0,1,Crime-free-stable
7386,0,1,Crime-free-stable
7397,0,1,Crime-free-stable
7400,0,1,Crime-free-stable
7402,0,1,Crime-free-stable
7403,0,1,Crime-free-stable
7404,0,1,Crime-free-stable
7406,0,1,Crime-free-stable
7408,0,1,Crime-free-stable
7415,0,1,Crime-free-stable
7418,0,1,Crime-free-stable
7419,0,1,Crime-free-stable
7431,0,1,Crime-free-stable
7433,0,1,Crime-free-stable
7434,0,1,Crime-free-stable
7441,0,1,Crime-free-stable
7493,0,1,Crime-free-stable
7495,0,1,Crime-free-stable
7497,0,1,Crime-free-stable
7500,0,1,Crime-free-stable
7504,0,1,Crime-free-stable
7507,0,1,Crime-free-stable
7511,0,1,Crime-free-stable
7512,0,1,Crime-free-stable
7514,0,1,Crime-free-stable
7516,0,1,Crime-free-stable
7517,0,1,Crime-free-stable
7520,0,1,Crime-free-stable
7530,0,1,Crime-free-stable
7537,0,1,Crime-free-stable
7548,0,1,Crime-free-stable
7550,0,1,Crime-free-stable
7552,0,1,Crime-free-stable
7553,0,1,Crime-free-stable
7557,0,1,Crime-free-stable
7558,0,1,Crime-free-stable
7559,0,1,Crime-free-stable
7560,0,1,Crime-free-stable
7563,0,1,Crime-free-stable
7565,0,1,Crime-free-stable
7575,0,1,Crime-free-stable
7582,0,1,Crime-free-stable
7584,0,1,Crime-free-stable
7614,0,1,Crime-free-stable
7619,0,1,Crime-free-stable
7620,0,1,Crime-free-stable
7621,0,1,Crime-free-stable
7623,0,1,Crime-free-stable
7624,0,1,Crime-free-stable
7625,0,1,Crime-free-stable
7626,0,1,Crime-free-stable
7627,0,1,Crime-free-stable
7628,0,1,Crime-free-stable
7630,0,1,Crime-free-stable
7632,0,1,Crime-free-stable
7633,0,1,Crime-free-stable
7641,0,1,Crime-free-stable
7664,0,1,Crime-free-stable
7665,0,1,Crime-free-stable
7673,0,1,Crime-free-stable
7676,0,1,Crime-free-stable
7677,0,1,Crime-free-stable
7680,0,1,Crime-free-stable
7682,0,1,Crime-free-stable
7684,0,1,Crime-free-stable
7687,0,1,Crime-free-stable
7688,0,1,Crime-free-stable
7703,0,1,Crime-free-stable
7748,0,1,Crime-free-stable
7749,0,1,Crime-free-stable
7751,0,1,Crime-free-stable
7767,0,1,Crime-free-stable
7771,0,1,Crime-free-stable
7773,0,1,Crime-free-stable
7774,0,1,Crime-free-stable
7776,0,1,Crime-free-stable
7778,0,1,Crime-free-stable
7780,0,1,Crime-free-stable
7782,0,1,Crime-free-stable
7784,0,1,Crime-free-stable
7785,0,1,Crime-free-stable
7790,0,1,Crime-free-stable
7791,0,1,Crime-free-stable
7793,0,1,Crime-free-stable
7798,0,1,Crime-free-stable
7799,0,1,Crime-free-stable
7802,0,1,Crime-free-stable
7809,0,1,Crime-free-stable
7810,0,1,Crime-free-stable
7864,0,1,Crime-free-stable
7881,0,1,Crime-free-stable
7893,0,1,Crime-free-stable
7896,0,1,Crime-free-stable
7897,0,1,Crime-free-stable
7898,0,1,Crime-free-stable
7899,0,1,Crime-free-stable
7925,0,1,Crime-free-stable
7930,0,1,Crime-free-stable
7935,0,1,Crime-free-stable
7942,0,1,Crime-free-stable
7959,0,1,Crime-free-stable
7960,0,1,Crime-free-stable
7962,0,1,Crime-free-stable
7967,0,1,Crime-free-stable
7974,0,1,Crime-free-stable
7980,0,1,Crime-free-stable
7982,0,1,Crime-free-stable
7983,0,1,Crime-free-stable
7984,0,1,Crime-free-stable
7985,0,1,Crime-free-stable
7986,0,1,Crime-free-stable
7989,0,1,Crime-free-stable
7990,0,1,Crime-free-stable
7991,0,1,Crime-free-stable
7992,0,1,Crime-free-stable
7993,0,1,Crime-free-stable
7994,0,1,Crime-free-stable
7995,0,1,Crime-free-stable
7997,0,1,Crime-free-stable
7998,0,1,Crime-free-stable
7999,0,1,Crime-free-stable
8000,0,1,Crime-free-stable
8001,0,1,Crime-free-stable
8002,0,1,Crime-free-stable
8003,0,1,Crime-free-stable
8004,0,1,Crime-free-stable
8006,0,1,Crime-free-stable
8007,0,1,Crime-free-stable
8008,0,1,Crime-free-stable
8009,0,1,Crime-free-stable
8012,0,1,Crime-free-stable
8013,0,1,Crime-free-stable
8014,0,1,Crime-free-stable
8015,0,1,Crime-free-stable
8016,0,1,Crime-free-stable
8019,0,1,Crime-free-stable
8020,0,1,Crime-free-stable
8021,0,1,Crime-free-stable
8022,0,1,Crime-free-stable
8027,0,1,Crime-free-stable
8032,0,1,Crime-free-stable
8036,0,1,Crime-free-stable
8041,0,1,Crime-free-stable
8044,0,1,Crime-free-stable
8060,0,1,Crime-free-stable
8061,0,1,Crime-free-stable
8069,0,1,Crime-free-stable
8070,0,1,Crime-free-stable
8071,0,1,Crime-free-stable
8073,0,1,Crime-free-stable
8074,0,1,Crime-free-stable
8080,0,1,Crime-free-stable
8082,0,1,Crime-free-stable
8088,0,1,Crime-free-stable
8089,0,1,Crime-free-stable
8104,0,1,Crime-free-stable
8115,0,1,Crime-free-stable
8125,0,1,Crime-free-stable
8126,0,1,Crime-free-stable
8129,0,1,Crime-free-stable
8132,0,1,Crime-free-stable
8134,0,1,Crime-free-stable
8138,0,1,Crime-free-stable
8141,0,1,Crime-free-stable
8143,0,1,Crime-free-stable
8144,0,1,Crime-free-stable
8149,0,1,Crime-free-stable
8150,0,1,Crime-free-stable
8159,0,1,Crime-free-stable
8160,0,1,Crime-free-stable
8166,0,1,Crime-free-stable
8167,0,1,Crime-free-stable
8169,0,1,Crime-free-stable
8170,0,1,Crime-free-stable
8174,0,1,Crime-free-stable
8176,0,1,Crime-free-stable
8178,0,1,Crime-free-stable
8179,0,1,Crime-free-stable
8186,0,1,Crime-free-stable
8187,0,1,Crime-free-stable
8246,0,1,Crime-free-stable
8346,0,1,Crime-free-stable
8349,0,1,Crime-free-stable
8362,0,1,Crime-free-stable
8386,0,1,Crime-free-stable
8418,0,1,Crime-free-stable
8426,0,1,Crime-free-stable
8432,0,1,Crime-free-stable
8433,0,1,Crime-free-stable
8444,0,1,Crime-free-stable
8445,0,1,Crime-free-stable
8451,0,1,Crime-free-stable
8462,0,1,Crime-free-stable
