year,crime_type,total_n,x50,gini_val,pct_zero
2013,Felony assault,20405,2.779644313040362,0.9203180618897465,87.549836491511
2014,Felony assault,20260,2.7258880974779376,0.9219433869131033,87.77494064417864
2015,Felony assault,20439,2.6810912511759173,0.9220124499595128,87.69318639967746
2016,Felony assault,20891,2.823321238184832,0.919273205831572,87.36504950051517
2017,Felony assault,20171,2.7102092012722303,0.9221280564944753,87.79845898848721
2018,Felony assault,20403,2.786363839985665,0.9204831458765464,87.62039152443668
2019,Felony assault,20864,2.772924786095059,0.9196931215490283,87.40648658334453
2020,Felony assault,20829,2.811002105451776,0.9194395514498167,87.44680374501635
2021,Felony assault,23105,2.878197374904807,0.9152935071241576,86.52174886887963
2022,Felony assault,26230,2.9677910675088475,0.9103286259413635,85.37942928817812
2023,Felony assault,27872,3.0831429467365496,0.9073159518226633,84.76459257268289
2024,Felony assault,29501,3.0909823948394033,0.9063918408465795,84.34238229628635
2006,Burglary,22995,4.324015589302513,0.8847009102370457,83.76786274246292
2007,Burglary,21642,4.095551673162209,0.8890829288649222,84.44653496393853
2008,Burglary,20716,4.168346548402992,0.8881133025813666,84.6850781704968
2009,Burglary,19438,3.911884603323926,0.8942198802983465,85.53397840792009
2010,Burglary,18707,3.9242037360569815,0.8941534125341671,85.7669220086906
2011,Burglary,18864,3.858128387761502,0.8949327086965952,85.74900327016978
2012,Burglary,19313,3.9488420015230927,0.8936951533066585,85.54517761949558
2013,Burglary,17427,3.918604130269229,0.8964386978884465,86.32352282399319
2014,Burglary,16844,3.563589123325718,0.903556349927432,87.08954889575774
2015,Burglary,15155,3.577028177216324,0.9080380491790745,87.93732921202347
2016,Burglary,13028,3.3340052860278635,0.9175863671024395,89.37082829368812
2017,Burglary,12136,3.2175334856426105,0.9218019942628735,89.9867849303409
2018,Burglary,11757,2.961071540563544,0.926192308147923,90.45603189535457
2019,Burglary,10886,2.9991488599202616,0.9283223834549305,90.90512027953233
2020,Burglary,15656,3.013707834968418,0.9190521917251916,88.72575370693903
2021,Burglary,12906,2.781884155355463,0.9252923955690789,89.99126461497112
2022,Burglary,15816,3.0316265734892265,0.9167624221915374,88.41105586166734
2023,Burglary,13747,2.799802893876271,0.9229211383472048,89.50297899027908
2024,Burglary,13030,2.7102092012722303,0.9264091831265854,89.9935044572862
2006,Grand larceny,46133,2.9924293329749587,0.8884854851134267,78.59942660036734
2007,Grand larceny,44587,2.804282578506473,0.8932704193089404,79.37553196254984
2008,Grand larceny,43785,2.9745105944541503,0.8908325868087503,79.29265779689109
2009,Grand larceny,38993,2.9196344577341753,0.8950150697737506,80.59176633964968
2010,Grand larceny,38097,2.8826770595350086,0.896269014103253,80.88070599829771
2011,Grand larceny,38926,3.1861756932311964,0.8901211270772368,80.1617166151503
2012,Grand larceny,43015,3.396720870850692,0.8834026723737526,78.71365855843749
2013,Grand larceny,45571,3.513192671235945,0.8791393681614554,77.80428257850647
2014,Grand larceny,44381,3.6666218698203648,0.8763935099904502,77.73260762442324
2015,Grand larceny,44300,3.6375039197240513,0.877189400358314,77.81436186892444
2016,Grand larceny,44641,3.8301303588227387,0.8737926262235488,77.48510504860458
2017,Grand larceny,43225,3.7808538278905166,0.8759217041808516,77.9778703579268
2018,Grand larceny,43590,3.613985575415491,0.878399050635718,78.08090310442145
2019,Grand larceny,43171,3.665501948662814,0.8775848736779935,78.10666129104511
2020,Grand larceny,35771,4.291537875733549,0.8710351833975011,79.14146844062178
2021,Grand larceny,42327,4.139228598306679,0.869567126784053,77.59261747972943
2022,Grand larceny,51405,3.8088518568292793,0.8682096339293309,75.49052546700712
2023,Grand larceny,50310,3.7170183219101376,0.8705573818439993,75.8802580298347
2024,Grand larceny,47808,3.76629485284236,0.8721915222148281,76.60932670340009
2006,GLA,15746,4.4796846302020334,0.8952645451783819,86.70317609640281
2007,GLA,13138,4.026116561394078,0.9087693693253932,88.61712135465663
2008,GLA,12471,4.107870805895265,0.908972485924995,88.90942077677731
2009,GLA,10617,3.797652645253774,0.9180664742330519,90.25780585046813
2010,GLA,10293,3.7483761143215517,0.9196993430914382,90.48850960892352
2011,GLA,9289,3.488554405769834,0.9259465993428275,91.3105317385656
2012,GLA,8071,3.1704967970254896,0.9334896585639434,92.31062133225821
2013,GLA,7359,2.8759575325897058,0.9396050047360536,93.00385252878198
2014,GLA,7664,2.9588316982484435,0.9377621468893267,92.749630426018
2015,GLA,7326,2.9330735116247815,0.9386793728280087,92.964655288267707
2016,GLA,6325,2.6732518030730636,0.944785363790231,93.78555749675222
2017,GLA,5670,2.4403082023025577,0.9497922082087891,94.38471531604175
2018,GLA,5404,2.3350356134928103,0.9520048503611253,94.63893741880571
2019,GLA,5407,2.286879003718138,0.9527473117936145,94.68597410742284
2020,GLA,9091,3.350804103391121,0.9283156575995948,91.55915423554181
2021,GLA,10426,3.3384849706580657,0.9252623268688468,90.82336603503114
2022,GLA,13791,4.0137974286610225,0.9065032039132597,88.26434619002822
2023,GLA,15780,4.408009676118802,0.8954192116129778,86.75581239080769
2024,GLA,14166,4.4180889665367555,0.8998119386270683,87.64950947453299
2006,Robbery (outdoor),15225,2.8647583210142007,0.9209238279280311,88.90158132867447
2007,Robbery (outdoor),14273,2.7046095954844778,0.9245012750906162,89.46602159207991
2008,Robbery (outdoor),15476,2.8815571383774583,0.920375038525693,88.78398960713166
2009,Robbery (outdoor),12650,2.685570935806119,0.9276884331532783,90.23092774268692
2010,Robbery (outdoor),13637,2.6833310934910184,0.9254296288404389,89.74600188146754
2011,Robbery (outdoor),13511,2.7662052591497557,0.9238791396205831,89.66872732159656
2012,Robbery (outdoor),13860,2.8054024996640234,0.9223250658911188,89.44474309008645
2013,Robbery (outdoor),13174,2.7774044707252608,0.9248594671517484,89.84567486448954
2014,Robbery (outdoor),10958,2.7034896743269274,0.9324344820368121,91.16046230345384
2015,Robbery (outdoor),11173,2.7236482551628365,0.9315595452106127,91.02047215876003
2016,Robbery (outdoor),9980,2.9039555615284685,0.9322176315180197,91.5076378622945
2017,Robbery (outdoor),8986,2.77516462841016,0.9366934143620843,92.1930296107154
2018,Robbery (outdoor),7913,2.5769385835237197,0.9424859486480045,92.99265331720646
2019,Robbery (outdoor),8395,2.612776060565336,0.9407444486128546,92.68691484119518
2020,Robbery (outdoor),7789,2.5455807911123056,0.9432734167893576,93.09344622138602
2021,Robbery (outdoor),7939,2.477265600501725,0.9439397388580287,93.0777673251803
2022,Robbery (outdoor),9881,2.7762845495677104,0.9343201671453256,91.69130493213278
2023,Robbery (outdoor),9944,2.6284549567710433,0.9362075249403649,91.80329704788784
2024,Robbery (outdoor),9804,2.5847780316265734,0.9373078416797206,91.92536845406083
2006,Felony assault (outdoor),8632,1.7459570846212427,0.9521350757147661,93.48653854768624
2007,Felony assault (outdoor),8719,1.7504367692514446,0.9518184524236607,93.42942256865116
2008,Felony assault (outdoor),8228,1.71795905568248,0.9529733345955721,93.68812435604534
2009,Felony assault (outdoor),8326,1.726918424942884,0.9528594624363379,93.64668727321597
2010,Felony assault (outdoor),8380,1.7425973211485912,0.952626741664499,93.61532948080455
2011,Felony assault (outdoor),8195,1.7190789768400305,0.9530322654546864,93.69260404067553
2012,Felony assault (outdoor),8544,1.7941136943959146,0.9509218801932674,93.42270304170587
2013,Felony assault (outdoor),8226,1.7896340097657124,0.952073043496104,93.60413026922905
2014,Felony assault (outdoor),7933,1.7459570846212427,0.9535525977176174,93.81243560453343
2015,Felony assault (outdoor),8258,1.729158267257985,0.9527504748286694,93.64668727321597
2016,Felony assault (outdoor),8227,1.9789006853917483,0.9494686033322897,93.41486359360302
2017,Felony assault (outdoor),7919,1.8445101464856875,0.9521793199033192,93.72172199077184
2018,Felony assault (outdoor),7676,1.8120324329167226,0.9531674212449148,93.88971016440443
2019,Felony assault (outdoor),8024,1.8512296734309905,0.951836902945243,93.65564664247637
2020,Felony assault (outdoor),9032,1.9016261255207634,0.9479895694173954,93.04080992698114
2021,Felony assault (outdoor),9743,2.00465887201541,0.9450390134184969,92.58164225238544
2022,Felony assault (outdoor),10604,2.127850199345966,0.9419880713653134,92.07207812569995
2023,Felony assault (outdoor),10885,2.1771267302781885,0.9410329142410367,91.92312861174572
2024,Felony assault (outdoor),11507,2.2566411324642743,0.9390382728301256,91.58043273753528
2006,Street assault,25970,3.200734668279353,0.9064990348668672,85.08824978721498
2007,Street assault,25945,3.1111409756753123,0.9082852604640499,85.25511803969
2008,Street assault,25290,3.164897191237737,0.9081013227787783,85.41190700174708
2009,Street assault,24909,3.1436186892442772,0.9095390107596364,85.6829279218743
2010,Street assault,26188,3.153697979662232,0.9075827589918516,85.21032119338798
2011,Street assault,24279,3.1033015275724587,0.9105541361584673,85.8800340456032
2012,Street assault,26154,3.1380190834565247,0.9075959887019045,85.20472158760023
2013,Street assault,24825,3.075303498633696,0.9105036735444036,85.74452358553958
2014,Street assault,24150,3.046185548537383,0.9117092909122966,85.99762576714599
2015,Street assault,24574,3.050665233167585,0.9114542808880973,85.91699144380236
2016,Street assault,24968,3.4168794516866012,0.9040626107047985,85.14312592393496
2017,Street assault,24428,3.3116068628768534,0.9065341034312455,85.4903014827756
2018,Street assault,24407,3.3351252071854143,0.9063648998063296,85.49142140393316
2019,Street assault,24443,3.2948080455135957,0.9072046996262776,85.57317564843436
2020,Street assault,21268,3.321686153294808,0.9099220220613978,86.53518792277023
2021,Street assault,23492,3.383281816960086,0.9055886746860268,85.56645612148904
2022,Street assault,25791,3.4504770864131165,0.9018042164766268,84.70635667249026
2023,Street assault,27057,3.385521659275187,0.9020364739541836,84.49357165255566
2024,Street assault,29202,3.4616762979886215,0.8985767154338065,83.74098463468171
2006,Residential burglary,16074,3.341844734130717,0.909518476207599,87.80405859427496
2007,Residential burglary,15435,3.223133091430363,0.9117275582347756,88.14451462617032
2008,Residential burglary,14967,3.306007257089101,0.911873499889666,88.31362272096045
2009,Residential burglary,14369,3.1178605026206156,0.9161601745486404,88.83662590153654
2010,Residential burglary,13589,3.1794561662858936,0.9176715332115739,89.21179948931595
2011,Residential burglary,13888,3.0607445235855395,0.9184890335333296,89.16252295838373
2012,Residential burglary,14615,3.1469784527169287,0.9148523545447703,88.66975764906151
2013,Residential burglary,12564,3.2365721453209693,0.9200732129648777,89.72808314294673
2014,Residential burglary,11822,2.8714778479595036,0.9270402153740821,90.50866818975945
2015,Residential burglary,9924,2.7337275455807912,0.934748913225078,91.70922367065359
2016,Residential burglary,8461,2.5254222102763966,0.9415852737724504,92.73731129328495
2017,Residential burglary,7565,2.3641535635891233,0.9463900995831228,93.40030461855486
2018,Residential burglary,7101,2.20288491690185,0.9498995234684218,93.82139497379384
2019,Residential burglary,6654,2.118890830085562,0.9522434818064012,94.1551314787439
2020,Residential burglary,6924,1.913945258253819,0.954278594407982,94.20888769430633
2021,Residential burglary,6369,1.929624154459526,0.9557288132844165,94.50454687989965
2022,Residential burglary,7663,2.2275231823679613,0.9479677512864128,93.48205886305604
2023,Residential burglary,6803,2.1065716973525066,0.952135730308999,94.08457644581821
2024,Residential burglary,6466,2.086413116516597,0.9533649900023221,94.2928817811226
2006,Commercial burglary,5426,1.280069883080231,0.9675732339685453,95.68158401648525
2007,Commercial burglary,4782,1.1949558751063925,0.9705470384403968,96.12731263719034
2008,Commercial burglary,4482,1.2251937463602562,0.9708215011988903,96.26506293956906
2009,Commercial burglary,3814,1.0818438381937912,0.9747317597965383,96.7824665143574
2010,Commercial burglary,3917,1.1994355597365944,0.9727758088475452,96.60775881377951
2011,Commercial burglary,3743,1.127760605653362,0.9743012143775162,96.77686690856963
2012,Commercial burglary,3519,1.0538458092550285,0.975848927288659,96.97621287461364
2013,Commercial burglary,3451,1.0101688841105587,0.9767223170450261,97.05796711911482
