crime_type,month,n_incidents,lambda,observed_50x,null_50x,marginal_50x,observed_gini,null_gini,marginal_gini
Shootings,2023-03-01,85,9.519329839179322e-4,4.0317161671818305e-4,4.7551354749169065e-4,-7.23419307735076e-5,0.9991958966088788,0.9990489724741857,1.4692413469308274e-4
Shootings,2023-04-01,71,7.95144021860861e-4,4.0317161671818305e-4,3.9725596769486e-4,5.915649023323041e-6,0.9992048559781391,0.9992054878134768,-6.318353377166019e-7
Shootings,2023-05-01,85,9.519329839179322e-4,4.5916767459570847e-4,4.7551354749169065e-4,-1.6345872895982187e-5,0.9990918098189416,0.9990489724741857,4.283734475596379e-5
Shootings,2023-06-01,104,0.0011647180038525289,5.711597903507594e-4,5.816809811718894e-4,-1.0521190821130046e-5,0.9988574650498451,0.9988366372487192,2.082780112588889e-5
Shootings,2023-07-01,113,0.0012655109080320745,6.383550598037898e-4,6.319550327697409e-4,6.400027034048875e-6,0.9987344890919679,0.9987360889225864,-1.599830618426168e-6
Shootings,2023-08-01,87,9.743314070689423e-4,4.8156609774671865e-4,4.8669119681051724e-4,-5.125099063798589e-6,0.9990478095629424,0.9990266171444275,2.1192418514837108e-5
Shootings,2023-09-01,77,8.623392913138915e-4,4.367692514446983e-4,4.3079793798399534e-4,5.971313460702938e-6,0.9991376607086861,0.9991384038037241,-7.430950379472279e-7
Shootings,2023-10-01,78,8.735385028893966e-4,4.367692514446983e-4,4.363878277575264e-4,3.8142368717186247e-7,0.9991264614971106,0.9991272240115391,-7.625144284872931e-7
Shootings,2023-11-01,65,7.279487524078304e-4,3.6957398199166777e-4,3.637094857902968e-4,5.864496201370964e-6,0.9992720512475922,0.9992725808357095,-5.295881172484584e-7
Shootings,2023-12-01,72,8.063432334363661e-4,3.9197240514267796e-4,4.028466093748224e-4,-1.0874204232144452e-5,0.9992157441005042,0.9991943065193591,2.1437581145034024e-5
Shootings,2024-01-01,65,7.279487524078304e-4,3.6957398199166777e-4,3.637094857902968e-4,5.864496201370964e-6,0.9992720512475922,0.9992725808357095,-5.295881172484584e-7
Shootings,2024-02-01,53,5.935582135017694e-4,3.0237871253863726e-4,2.966029859221887e-4,5.77572661644856e-6,0.9994064417864982,0.9994067939236693,-3.5213717108906195e-7
Shootings,2024-03-01,64,7.167495408323254e-4,3.583747704161627e-4,3.581179668223048e-4,2.568035938578712e-7,0.9992832504591677,0.9992837638824014,-5.134232337056233e-7
Shootings,2024-04-01,60,6.719526945303051e-4,3.2477713568964745e-4,3.357506376115433e-4,-1.097350192189587e-5,0.9993500724215681,0.9993284985731955,2.1573848372646864e-5
Shootings,2024-05-01,88,9.855306186444474e-4,4.8156609774671865e-4,4.922798335189343e-4,-1.0713735772215646e-5,0.9990366132769708,0.9990154398549037,2.1173422067088943e-5
Shootings,2024-06-01,107,0.001198315638579044,5.935582135017694e-4,5.984401258077562e-4,-4.881912305986814e-6,0.9988238734535145,0.9988031188892194,2.0754564295177858e-5
Shootings,2024-07-01,91,0.0010191282533709627,5.039645208977288e-4,5.090449918570385e-4,-5.080470959309717e-6,0.9990030240332619,0.99898190948767,2.1114545591949252e-5
Shootings,2024-08-01,74,8.287416565873763e-4,4.0317161671818305e-4,4.140275167724089e-4,-1.0855900054225856e-5,0.9991933540851697,0.9991719446821349,2.14094030348555e-5
Shootings,2024-09-01,91,0.0010191282533709627,5.151637324732339e-4,5.090449918570385e-4,6.118740616195377e-6,0.9989808717466291,0.99898190948767,-1.0377410408768384e-6
Shootings,2024-10-01,82,9.183353491914169e-4,4.5916767459570847e-4,4.5874613373741947e-4,4.2154085828899736e-7,0.9990816646508086,0.9990825073457054,-8.426948967521497e-7
Shootings,2024-11-01,68,7.615463871343457e-4,3.8077319356717286e-4,3.804832907134545e-4,2.899028537183793e-7,0.9992384536128657,0.9992390331979386,-5.79585072935096e-7
Shootings,2024-12-01,61,6.831519061058102e-4,3.3597634726515254e-4,3.4134265791786007e-4,-5.3663106527075265e-6,0.9993388793297804,0.9993173145248789,2.156480490145274e-5
Shootings,2025-01-01,50,5.599605787752543e-4,2.7998028938762713e-4,2.798235407217924e-4,1.567486658347471e-7,0.9994400394212247,0.9994403528308244,-3.134095997170405e-7
Shootings,2025-02-01,42,4.7036688617121356e-4,2.3518344308560678e-4,2.3507283792415176e-4,1.1060516145501575e-7,0.9995296331138288,0.999529854272147,-2.2115831821434284e-7
Shootings,2025-03-01,47,5.26362944048739e-4,2.6878107781212203e-4,2.630429673522439e-4,5.738110459878147e-6,0.9994736370559513,0.9994739139924239,-2.769364726429302e-7
Shootings,2025-04-01,70,7.839448102853559e-4,3.9197240514267796e-4,3.916652006922469e-4,3.072044504310407e-7,0.9992160551897147,0.9992166693579414,-6.141682267202242e-7
Shootings,2025-05-01,53,5.935582135017694e-4,3.0237871253863726e-4,2.966029859221887e-4,5.77572661644856e-6,0.9994064417864982,0.9994067939236693,-3.5213717108906195e-7
Shootings,2025-06-01,75,8.399408681628814e-4,4.255700398691932e-4,4.1961778249284e-4,5.952257376353181e-6,0.9991600591318371,0.9991607641390152,-7.050071780811962e-7
Shootings,2025-07-01,75,8.399408681628814e-4,4.0317161671818305e-4,4.1961778249284e-4,-1.6446165774656953e-5,0.999203661395571,0.9991607641390152,4.289725655581833e-5
Shootings,2025-08-01,77,8.623392913138915e-4,4.255700398691932e-4,4.3079793798399534e-4,-5.2278981148021555e-6,0.9991597682432247,0.9991384038037241,2.1364439500626276e-5
Shootings,2025-09-01,64,7.167495408323254e-4,3.583747704161627e-4,3.581179668223048e-4,2.568035938578712e-7,0.9992832504591677,0.9992837638824014,-5.134232337056233e-7
Shootings,2025-10-01,45,5.039645208977288e-4,2.5758186623661694e-4,2.5185529165985327e-4,5.726574576763669e-6,0.9994960354791023,0.9994962893527194,-2.5387361712869705e-7
Shootings,2025-11-01,55,6.159566366527796e-4,3.0237871253863726e-4,3.0778865598053045e-4,-5.409943441893187e-6,0.9994060345424409,0.999384422571275,2.161197116590241e-5
Shootings,2025-12-01,35,3.9197240514267796e-4,2.0158580835909153e-4,1.959093914244201e-4,5.676416934671417e-6,0.9996080275948573,0.9996081811870533,-1.535921959616715e-7
Gun violence,2022-01-01,332,0.003718138243067688,0.0013663038122116204,0.0018521654045117982,-4.8586159230017785e-4,0.9971452130251958,0.9962956435855133,8.495694396825071e-4
Gun violence,2022-02-01,275,0.0030797831832638984,0.0011423195807015187,0.001535153924314698,-3.9283434361317925e-4,0.9976238530989237,0.996929677590295,6.941755086286028e-4
Gun violence,2022-03-01,360,0.00403171616718183,0.001310307754334095,0.002007741627377563,-6.974338730434682e-4,0.9971436410876674,0.9959844841097771,0.0011591569778902633
Gun violence,2022-04-01,361,0.004042915378757336,0.001332706177485105,0.0020132961095622455,-6.805899320771404e-4,0.9971318539950411,0.9959733748730575,0.0011584791219836355
Gun violence,2022-05-01,400,0.004479684630202034,0.0015006943511176813,0.0022298234938776143,-7.29129142759933e-4,0.9967685794920038,0.9955403082648261,0.001228271227177724
Gun violence,2022-06-01,390,0.004367692514446983,0.0013887022353626305,0.00217432176001049,-7.856195246478596e-4,0.9969330815520844,0.9956513150007751,0.0012817665513092935
Gun violence,2022-07-01,508,0.005689199480356583,0.0018142722752318237,0.0028284468915911517,-0.001014174616359328,0.9960245003476165,0.9943430146676137,0.0016814856800028144
Gun violence,2022-08-01,407,0.0045580791112305695,0.001467096716391166,0.0022686672782276265,-8.015705618364605e-4,0.9967989241272402,0.995462618309226,0.0013363058180142495
Gun violence,2022-09-01,343,0.003841329570398244,0.0016238856784482373,0.0019132963166896798,-2.894106382414425e-4,0.9967175208824482,0.9961733791342532,5.441417481950594e-4
Gun violence,2022-10-01,286,0.0032029745105944542,0.0014111006585136407,0.0015963632046339302,-1.8526254612028946e-4,0.9971615872368459,0.9968072572135186,3.5433002332729835e-4
Gun violence,2022-11-01,268,0.0030013887022353625,0.0012991085427585898,0.0014961946869195566,-1.9708614416096676e-4,0.9973796352199492,0.997007597147903,3.720380720462213e-4
Gun violence,2022-12-01,231,0.0025870178739416747,0.0011311203691260136,0.001290165490037913,-1.5904512091189944e-4,0.9977284993075881,0.9974196603852659,3.088389223222521e-4
Gun violence,2023-01-01,281,0.0031469784527169285,0.0014111006585136407,0.00156854267991971,-1.5744202140606923e-4,0.9971732153757443,0.9968628991060939,3.103162696503903e-4
Gun violence,2023-02-01,235,0.0026318147202436947,0.0011311203691260136,0.0013124471719513503,-1.813268028253367e-4,0.9977266553626114,0.9973750965654804,3.515587971310019e-4
Gun violence,2023-03-01,255,0.0028557989517537965,0.001209514850154549,0.0014238255610671058,-2.143107109125568e-4,0.9975630954796468,0.9971523372657034,4.107582139434296e-4
Gun violence,2023-04-01,296,0.003314966626349505,0.001478295927966671,0.0016519948776430283,-1.736989496763572e-4,0.9970261553046125,0.9966959920908761,3.301632137363564e-4
Gun violence,2023-05-01,245,0.0027438068359987456,0.0012879093311830847,0.0013681426204430812,-8.023328925999646e-5,0.9974295295325495,0.9972637044590618,1.6582507348772424e-4
Gun violence,2023-06-01,275,0.0030797831832638984,0.0013663038122116204,0.001535153924314698,-1.688501121030776e-4,0.9972577406914189,0.996929677590295,3.280631011238766e-4
Gun violence,2023-07-01,313,0.0035053532231330915,0.0015118935626931864,0.001746540033342544,-2.3464647064935762e-4,0.996955639243125,0.9965068984726229,4.487407705021651e-4
Gun violence,2023-08-01,274,0.003068583971688393,0.001332706177485105,0.001529588694093719,-1.9688251660861396e-4,0.9973139876354165,0.9969408082088473,3.731794265691146e-4
Gun violence,2023-09-01,234,0.00262061550866819,0.0012207140617300541,0.0013068769391155217,-8.616287738546754e-5,0.9975531158503878,0.997386237146609,1.6687870377873892e-4
Gun violence,2023-10-01,264,0.002956591855933342,0.001310307754334095,0.001473929514559525,-1.636217602254302e-4,0.9973625008314566,0.9970521280865876,3.10372744869003e-4
Gun violence,2023-11-01,190,0.002127850199345966,9.407337723424271e-4,0.0010616628313114362,-1.2092905896900913e-4,0.9981065080386762,0.9978766695321352,2.2983850654101357e-4
Gun violence,2023-12-01,247,0.002766205259149756,0.001209514850154549,0.0013792802091524778,-0.00016976535899792871,0.9975724915443686,0.9972414290275683,3.3106251680026233e-4
Gun violence,2024-01-01,226,0.002531021816064149,0.0011087219459750034,0.001262310572924096,-1.5358862694909254e-4,0.9977644193317817,0.9974753707676843,2.890485640973939e-4
Gun violence,2024-02-01,153,0.0017134793710522778,8.287416565873763e-4,8.552725178554497e-4,-2.653086126807344e-5,0.9983523983440977,0.9982894524539141,6.294589018362995e-5
Gun violence,2024-03-01,213,0.002385432065582583,0.0010303274649464678,0.0011898731506715433,-1.5954568572507555e-4,0.997928356172364,0.9976202469279268,3.0810924443713805e-4
Gun violence,2024-04-01,230,0.0025758186623661694,0.0010975227343994983,0.0012845947568173323,-1.8707202241783401e-4,0.9977821665702561,0.9974308019632652,3.5136460699092265e-4
Gun violence,2024-05-01,299,0.0033485642610760202,0.0013999014469381356,0.001668681941840537,-2.687804949024013e-4,0.99717206798273506,0.9966626174055213,5.094505772137436e-4
Gun violence,2024-06-01,304,0.0034045603189535455,0.001478295927966671,0.001696491215460566,-2.1819528749389481e-4,0.9970176941648571,0.9966069979049282,4.106962599288444e-4
Gun violence,2024-07-01,280,0.0031357792411414237,0.0013439053890606102,0.00156297819989769,-2.1907281083707983e-4,0.9972875509564126,0.9968740282312204,4.135227251922391e-4
Gun violence,2024-08-01,254,0.0028445997401782917,0.0011871164270035389,0.001418257829818829,-2.3114140281529005e-4,0.9975918167801932,0.9971634728641502,4.283439160429614e-4
Gun violence,2024-09-01,261,0.002922994221206827,0.0013215069659096,0.0014572293222477216,-1.3572235633812157e-4,0.9973556558936258,0.9970855289050581,2.7012698856776485e-4
Gun violence,2024-10-01,269,0.003012587913810868,0.0012319132733055592,0.001501760667389906,-2.698473940843467e-4,0.9975054901116374,0.9969964650356749,5.090250759625103e-4
Gun violence,2024-11-01,219,0.0024526273350356136,0.0010415266765219729,0.0012233084345031455,-1.8178175798117262e-4,0.9979016563991886,0.9975533757723142,3.4828062687441985e-4
Gun violence,2024-12-01,209,0.0023406352192805627,9.967298302199525e-4,0.0011675804589989585,-1.7085062877900603e-4,0.9979957698059396,0.9976648326853166,3.309371206230427e-4
Gun violence,2025-01-01,191,0.002139049410921471,9.407337723424271e-4,0.001067238569612589,-1.2650479727016183e-4,0.9981151902822272,0.9978655179793243,2.4967230290284803e-4
Gun violence,2025-02-01,169,0.0018926667562603593,7.95144021860861e-4,9.445434138517696e-4,-1.4939939199090863e-4,0.9984007658405227,0.9981109097898286,2.898560506940928e-4
Gun violence,2025-03-01,216,0.002419029700309098,8.959369260404067e-4,0.0012065913556242225,-3.1065442958381573e-4,0.9981497450727617,0.9975868102281229,5.629348446387628e-4
Gun violence,2025-04-01,236,0.0026430139318192,0.0011423195807015187,0.0013180172796944936,-1.7569769899297488e-4,0.9976938165926,0.9973639562335525,3.298603590475846e-4
Gun violence,2025-05-01,246,0.002755006047574251,0.001198315638579044,0.0013737114773364175,-1.7539583875737352e-4,0.9975826092087019,0.9972525666187534,3.300425899485093e-4
Gun violence,2025-06-01,252,0.0028222013170272815,0.0012543116964565694,0.0014071219921226628,-1.5281029566609336e-4,0.9974751110855129,0.9971857448082542,2.893662772587291e-4
Gun violence,2025-07-01,259,0.002900595798055817,0.0011759172154280338,0.0014460952354275213,-2.7017801999948757e-4,0.9976110222380885,0.9971077973624557,5.032248756328128e-4
Gun violence,2025-08-01,265,0.0029677910675088475,0.0012543116964565694,0.0014794959952241292,-2.2518429876755976e-4,0.9974700347133297,0.9970409949784365,4.290397348932773e-4
Gun violence,2025-09-01,222,0.0024862249697621287,0.0010751243112484881,0.0012400243873461451,-1.6490007609765698e-4,0.9978284627861298,0.9975199435603126,3.0851922581720537e-4
Gun violence,2025-10-01,183,0.0020494557183174307,8.847377144649017e-4,0.001022629158764049,-1.378914442991473e-4,0.9982210389000636,0.9979547373886163,2.6630151144735326e-4
Gun violence,2025-11-01,194,0.0021726470456479865,8.511400797383864e-4,0.0010839650335956019,-2.328249538572155e-4,0.9982582339605354,0.997832064817911,4.2616914262438854e-4
Gun violence,2025-12-01,51,5.711597903507594e-4,2.911795009631322e-4,2.8541681447218076e-4,5.7626864909514634e-6,0.9994288402096493,0.9994291662779549,-3.260683055783531e-7
Pickpocket (non-transit),2022-01-01,145,0.0016238856784482373,6.383550598037898e-4,8.106250502851636e-4,-1.7226999048137375e-4,0.9987012776369509,0.9983787477623846,3.225298745663796e-4
Pickpocket (non-transit),2022-02-01,141,0.001579088832146217,6.159566366527796e-4,7.882983112928864e-4,-1.723416746401068e-4,0.9987451323143163,0.9984234014122912,3.217309020250303e-4
Pickpocket (non-transit),2022-03-01,166,0.001859069121533844,6.831519061058102e-4,9.278075621366552e-4,-2.4465565603084497e-4,0.9985844466429081,0.9981443816700859,4.4006497282222945e-4
Pickpocket (non-transit),2022-04-01,153,0.0017134793710522778,6.607534829548e-4,8.552725178554497e-4,-1.9451903490064974e-4,0.9986470913232022,0.9982894524539141,3.576388692880794e-4
Pickpocket (non-transit),2022-05-01,141,0.001579088832146217,6.831519061058102e-4,7.882983112928864e-4,-1.0514640518707625e-4,0.9986304396794579,0.9984234014122912,2.070382671666149e-4
Pickpocket (non-transit),2022-06-01,213,0.002385432065582583,7.055503292568204e-4,0.0011898731506715433,-4.8432282141472294e-4,0.9984734896259547,0.9976202469279268,8.532426980278895e-4
Pickpocket (non-transit),2022-07-01,162,0.0018142722752318237,7.391479639833355e-4,9.054913405251981e-4,-1.6634337654186258e-4,0.9984995821726249,0.9981890143393474,3.105678332775419e-4
Pickpocket (non-transit),2022-08-01,175,0.00195986202571339,7.391479639833355e-4,9.780117373199445e-4,-2.388637733366089e-4,0.9984874664823596,0.9980439727699819,4.434937123777294e-4
Pickpocket (non-transit),2022-09-01,323,0.0036173453388881425,2.911795009631322e-4,0.0018021379576048015,-0.0015109584566416693,0.9987646541510103,0.996395700503385,0.002368953647625349
Pickpocket (non-transit),2022-10-01,308,0.003449357165255566,8.959369260404067e-4,0.0017187363844191445,-8.227994583787378e-4,0.9979425448448429,0.9965625067814518,0.0013800380633911535
Pickpocket (non-transit),2022-11-01,259,0.002900595798055817,7.615463871343457e-4,0.0014460952354275213,-6.845488482931756e-4,0.998271040637658,0.9971077973624557,0.0011632432752023414
Pickpocket (non-transit),2022-12-01,381,0.0042668996102674375,4.927653093222237e-4,0.002124359522695159,-0.0016315942133729353,0.9983359617677141,0.9957512422773902,0.0025847194903239057
Pickpocket (non-transit),2023-01-01,243,0.0027214084128477354,8.175424450118712e-4,0.0013570045314189767,-5.394620864071055e-4,0.9982228279935677,0.9972859808870778,9.368471064898909e-4
Pickpocket (non-transit),2023-02-01,217,0.0024302289118846034,7.279487524078304e-4,0.0012121638403679682,-4.8421508796013773e-4,0.998414511618382,0.9975756651601965,8.388464581855493e-4
Pickpocket (non-transit),2023-03-01,258,0.0028893965864803116,8.847377144649017e-4,0.00144052800442952,-5.557902899646184e-4,0.9980694816449263,0.9971189319647004,9.505496802258984e-4
